,lu_x,lu_y,ru_x,ru_y,ld_x,ld_y,rd_x,rd_y
IMG_4414,1280,471,1422,465,1278,563,1424,555
IMG_4399,1089,519,1269,491,1101,635,1281,605
IMG_4416,176,233,263,238,178,281,265,282
IMG_4412,900,366,1038,361,901,445,1038,435
IMG_4406,471,398,665,417,465,494,657,513
IMG_4407,275,287,366,294,268,336,360,342
IMG_4413,345,229,451,227,345,282,452,280
IMG_4405,756,573,1007,590,746,705,999,716
IMG_4411,207,1447,537,1606,175,1641,495,1819
IMG_4388,156,312,238,308,164,362,246,357
IMG_4389,1535,878,1593,875,1533,934,1591,928
IMG_4410,150,767,357,835,140,897,341,973
IMG_4404,544,384,633,392,537,434,628,443
IMG_4409,144,429,299,455,126,512,280,549
IMG_4390,358,244,437,242,361,285,439,281
IMG_4391,341,243,416,240,343,282,419,280
IMG_4408,205,602,365,637,186,693,340,731
IMG_4393,1448,1178,1785,1083,1451,1425,1773,1311
IMG_4387,153,402,266,402,161,461,272,462
IMG_4386,88,364,174,375,79,425,168,437
IMG_4392,1757,1063,1845,1038,1753,1183,1836,1149
IMG_4396,394,761,589,710,427,870,619,817
IMG_4397,1057,641,1204,616,1070,740,1215,712
IMG_4418,974,927,1115,947,974,1010,1114,1029
IMG_4395,797,370,883,368,797,422,881,420
IMG_4394,265,279,319,282,266,310,320,309
IMG_4419,1017,319,1116,318,1022,391,1120,384
